Kreditgruppe	Glaeubiger	Darlehensnummer und Geschaeftszeichen	Laufzeit	Art	TA	Verwendung	"urspruengl. Schuld"	"Urspruengl. Schuld aufgeteilt"	"Stand am Jahresanfang"	"Jahresanfang aufgeteilt"	"Jahresanfang aufgeteilt"	"Zinsen und Nebenkosten"	"Zinsen u. NK aufgeteilt"	"Zinsen u. NK aufgeteilt"	Tilgung	"Tilgung aufgeteilt"	"Tilgung aufgeteilt"	Zuzaehlung	"Zuzaehlung aufgeteilt"	"Zuzaehlung aufgeteilt"	"Stand am Jahresende"	"Jahresende aufgeteilt"	"Jahresende aufgeteilt"	Ersaetze	"Ersaetze aufgeteilt"	"Ersaetze aufgeteilt"	TA
Finanzunternehmen	Oberbank AG			1	311	Verkehrsplanung		1.057.000,00		853.730,77	853.700,00		28.512,32	28.500,00		81.307,69	81.300,00					772.423,08	772.400,00				311
Finanzunternehmen	Oberbank AG			1	6121	"Gemeindestrazslig;en - Strazslig;enneubau"		9.784.300,00		7.902.703,85	7.902.700,00		263.929,15	263.900,00		752.638,47	752.600,00					7.150.065,37	7.150.100,00				6121
Finanzunternehmen	Oberbank AG			1	6122	Bruecken		561.300,00		453.357,69	453.400,00		15.140,93	15.100,00		43.176,92	43.200,00					410.180,77	410.200,00				6122
Finanzunternehmen	Oberbank AG			1	6290	"Allgemeiner Wasserbau, sonstige Mazslig;nahmen"		63.600,00		51.369,23	51.400,00		1.715,59	1.700,00		4.892,31	4.900,00					46.476,92	46.500,00				6290
Finanzunternehmen	Oberbank AG			1	6300	Hochwasserregulierung bei Bundesfluessen		85.200,00		68.815,38	68.800,00		2.298,25	2.300,00		6.553,85	6.600,00					62.261,54	62.200,00				6300
Finanzunternehmen	Oberbank AG			1	6400	"Einrichtungen und Mazslig;nahmen nach der StVO"		537.000,00		433.730,77	433.700,00		14.485,45	14.500,00		41.307,69	41.300,00					392.423,08	392.400,00				6400
Finanzunternehmen	Oberbank AG			1	7890	Foerderung von Handel, Gewerbe und Industrie		171.300,00		138.357,69	138.400,00		4.620,78	4.600,00		13.176,92	13.200,00					125.180,77	125.200,00				7890
Finanzunternehmen	Oberbank AG			1	8120	WC-Anlagen		45.000,00		36.346,15	36.300,00		1.213,86	1.200,00		3.461,54	3.500,00					32.884,62	32.800,00				8120
Finanzunternehmen	Oberbank AG			1	8140	"Strazslig;enreinigung"		299.500,00		241.903,85	241.900,00		8.078,94	8.100,00		23.038,46	23.000,00					218.865,38	218.900,00				8140
Finanzunternehmen	Oberbank AG			1	8150	oeffentliche Anlagen		795.100,00		642.196,15	642.200,00		21.447,63	21.400,00		61.161,54	61.200,00					581.034,62	581.000,00				8150
Finanzunternehmen	Oberbank AG			1	8151	Kinderspielplaetze		88.000,00		71.076,92	71.100,00		2.373,78	2.400,00		6.769,23	6.800,00					64.307,69	64.300,00				8151
Finanzunternehmen	Oberbank AG			1	8160	oeffentliche Beleuchtung und oeffentliche Uhren		971.700,00		784.834,62	784.800,00		26.211,37	26.200,00		74.746,15	74.700,00					710.088,46	710.100,00				8160
Finanzunternehmen	Oberbank AG	Oberbank    711-2975.15       (902-06/08/09)	Laufzeit von 2011 bis 2022	1	290	Amtsgebaeude	26.671.800,00	46.000,00	16.299.433,31	28.111,11	28.100,00	462.377,88	797,45	800	2.963.533,34	5.111,12	5.100,00	0			13.335.899,97	22.999,98	23.000,00	0			290
Finanzunternehmen	Oberbank AG			1	311	Verkehrsplanung		19.000,00		11.611,11	11.600,00		329,38	300		2.111,11	2.100,00					9.500,00	9.500,00				311
Finanzunternehmen	Oberbank AG			1	610	Sonstige Subventionen		2.530.000,00		1.546.111,11	1.546.100,00		43.859,66	43.900,00		281.111,11	281.100,00					1.265.000,00	1.265.000,00				610
Finanzunternehmen	Oberbank AG			1	1620	Berufsfeuerwehr		104.700,00		63.983,33	64.000,00		1.815,06	1.800,00		11.633,33	11.600,00					52.350,00	52.400,00				1620
Finanzunternehmen	Oberbank AG			1	2101	Allgemeinbildende Pflichtschulen -Gebaeudemanagement		793.000,00		484.611,11	484.600,00		13.747,32	13.700,00		88.111,11	88.100,00					396.500,00	396.500,00				2101
Finanzunternehmen	Oberbank AG			1	2290	"Sonst.Einrichtungen u.Mazslig;nahmen-berufsbildender Unterricht"		848.600,00		518.588,89	518.600,00		14.711,19	14.700,00		94.288,89	94.300,00					424.300,00	424.300,00				2290
Finanzunternehmen	Oberbank AG			2	2500	Schuelerhorte		75.400,00		46.077,78	46.100,00		1.307,12	1.300,00		8.377,78	8.400,00					37.700,00	37.700,00				2500
Finanzunternehmen	Oberbank AG			1	2620	Sportplaetze		55.400,00		33.855,56	33.900,00		960,41	1.000,00		6.155,56	6.200,00					27.700,00	27.700,00				2620
Finanzunternehmen	Oberbank AG			1	2700	Volkshochschule Linz		1.589.700,00		971.483,33	971.500,00		27.558,77	27.600,00		176.633,33	176.600,00					794.850,00	794.900,00				2700
Finanzunternehmen	Oberbank AG			1	2730	Stadtbibliothek Linz		96.000,00		58.666,67	58.700,00		1.664,24	1.700,00		10.666,67	10.700,00					48.000,00	48.000,00				2730
Finanzunternehmen	Oberbank AG			1	2800	Foerderung von Universitaeten und Hochschulen		102.500,00		62.638,89	62.600,00		1.776,92	1.800,00		11.388,89	11.400,00					51.250,00	51.200,00				2800
Finanzunternehmen	Oberbank AG			1	2890	Naturkundliche Station		100.000,00		61.111,11	61.100,00		1.733,58	1.700,00		11.111,11	11.100,00					50.000,00	50.000,00				2890
Finanzunternehmen	Oberbank AG			1	3290	"Sonst.Einrichtungen u.Mazslig;nahmen-Musik u.darstellende Kunst"		5.191.000,00		3.172.277,77	3.172.300,00		89.990,31	90.000,00		576.777,78	576.800,00					2.595.499,99	2.595.500,00				3290
Finanzunternehmen	Oberbank AG			1	3400	Museen der Stadt Linz		1.652.500,00		1.009.861,11	1.009.900,00		28.647,46	28.600,00		183.611,11	183.600,00					826.250,00	826.300,00				3400
Finanzunternehmen	Oberbank AG			1	3500	ARS ELECTRONICA CENTER - Museum d. 21.Jahrhunderts		791.000,00		483.388,89	483.400,00		13.712,64	13.700,00		87.888,89	87.900,00					395.500,00	395.500,00				3500
Finanzunternehmen	Oberbank AG			1	3510	Kunst- und Kulturfoerderung		135.000,00		82.500,00	82.500,00		2.340,34	2.300,00		15.000,00	15.000,00					67.500,00	67.500,00				3510
Finanzunternehmen	Oberbank AG			1	3630	Altstadterhaltung und Ortsbildpflege		4.084.800,00		2.496.266,66	2.496.300,00		70.813,41	70.800,00		453.866,67	453.900,00					2.042.400,00	2.042.400,00				3630
Finanzunternehmen	Oberbank AG			1	4290	Volkshaeuser		2.164.000,00		1.322.444,44	1.322.400,00		37.514,74	37.500,00		240.444,44	240.400,00					1.082.000,00	1.082.000,00				4290
Finanzunternehmen	Oberbank AG			2	4300	Krabbelstuben		349.200,00		213.400,00	213.400,00		6.053,67	6.100,00		38.800,00	38.800,00					174.600,00	174.600,00				4300
Finanzunternehmen	Oberbank AG			1	4890	Foerderung des Wohnbaues und Altwohnhausbesitzes		1.165.400,00		712.188,89	712.200,00		20.203,18	20.200,00		129.488,89	129.500,00					582.700,00	582.700,00				4890
Finanzunternehmen	Oberbank AG			1	5010	Technik und Umwelt		255.000,00		155.833,33	155.800,00		4.420,64	4.400,00		28.333,33	28.300,00					127.500,00	127.500,00				5010
Finanzunternehmen	Oberbank AG			1	5230	Laermbekaempfung		14.400,00		8.800,00	8.800,00		249,64	200		1.600,00	1.600,00					7.200,00	7.200,00				5230
Finanzunternehmen	Oberbank AG			1	6100	"Bundesstrazslig;en"		800.000,00		488.888,89	488.900,00		13.868,67	13.900,00		88.888,89	88.900,00					400.000,00	400.000,00				6100
Finanzunternehmen	Oberbank AG			1	6110	"Landesstrazslig;en"		50.000,00		30.555,56	30.600,00		866,79	900		5.555,56	5.600,00					25.000,00	25.000,00				6110
Finanzunternehmen	Oberbank AG			1	6120	"Gemeindestrazslig;en - Strazslig;enerhaltung"		1.685.200,00		1.029.844,44	1.029.800,00		29.214,35	29.200,00		187.244,44	187.200,00					842.600,00	842.600,00				6120
Finanzunternehmen	Oberbank AG			1	6121	"Gemeindestrazslig;en - Strazslig;enneubau"		1.974.000,00		1.206.333,33	1.206.300,00		34.220,94	34.200,00		219.333,33	219.300,00					987.000,00	987.000,00				6121
Finanzunternehmen	Oberbank AG	Oberbank    711-3186.75      (902-06-08/11  )	Laufzeit von 2012, 2013 bis 2033	1	290	Amtsgebaeude	11.478.500,00	149.400,00	11.478.500,00	149.400,00	149.400,00	123.779,97	1.611,08	1.600,00	695.666,68	9.054,55	9.100,00	0			10.782.833,32	140.345,45	140.300,00	34.345,09	447,02	400	290
Finanzunternehmen	Oberbank AG			1	610	Sonstige Subventionen		629.300,00		629.300,00	629.300,00		6.786,14	6.800,00		38.139,39	38.100,00					591.160,61	591.200,00		1.882,94	1.900,00	610
Finanzunternehmen	Oberbank AG			1	2290	"Sonst.Einrichtungen u.Mazslig;nahmen-berufsbildender Unterricht"		200		200	200		2,16	0		12,12	0					187,88	200		0,6	0	2290
Finanzunternehmen	Oberbank AG			2	2500	Schuelerhorte		223.800,00		223.800,00	223.800,00		2.413,38	2.400,00		13.563,64	13.600,00					210.236,36	210.200,00		669,64	700	2500
Finanzunternehmen	Oberbank AG			1	2620	Sportplaetze		54.300,00		54.300,00	54.300,00		585,55	600		3.290,91	3.300,00					51.009,09	51.000,00		162,47	200	2620
Finanzunternehmen	Oberbank AG			1	2700	Volkshochschule Linz		600		600	600		6,47	0		36,36	0					563,64	600		1,8	0	2700
Finanzunternehmen	Oberbank AG			1	2730	Stadtbibliothek Linz		100		100	100		1,08	0		6,06	0					93,94	100		0,3	0	2730
Finanzunternehmen	Oberbank AG			1	2890	Naturkundliche Station		100.000,00		100.000,00	100.000,00		1.078,36	1.100,00		6.060,61	6.100,00					93.939,39	93.900,00		299,21	300	2890
Finanzunternehmen	Oberbank AG			1	3400	Museen der Stadt Linz		2.400,00		2.400,00	2.400,00		25,88	0		145,45	100					2.254,55	2.300,00		7,18	0	3400
Finanzunternehmen	Oberbank AG			1	3510	Kunst- und Kulturfoerderung		39.900,00		39.900,00	39.900,00		430,27	400		2.418,18	2.400,00					37.481,82	37.500,00		119,39	100	3510
Finanzunternehmen	Oberbank AG			1	3630	Altstadterhaltung und Ortsbildpflege		818.500,00		818.500,00	818.500,00		8.826,41	8.800,00		49.606,06	49.600,00					768.893,94	768.900,00		2.449,05	2.400,00	3630
Finanzunternehmen	Oberbank AG			1	3810	Staedtische Kulturentwicklung		5.800,00		5.800,00	5.800,00		62,55	100		351,52	400					5.448,48	5.400,00		17,35	0	3810
Finanzunternehmen	Oberbank AG			1	4111	Geschlossene Sozialhilfe		252.000,00		252.000,00	252.000,00		2.717,48	2.700,00		15.272,73	15.300,00					236.727,27	236.700,00		754,02	800	4111
Finanzunternehmen	Oberbank AG			1	4890	Foerderung des Wohnbaues und Altwohnhausbesitzes		277.100,00		277.100,00	277.100,00		2.988,15	3.000,00		16.793,94	16.800,00					260.306,06	260.300,00		829,12	800	4890
Finanzunternehmen	Oberbank AG			1	5010	Technik und Umwelt		55.000,00		55.000,00	55.000,00		593,1	600		3.333,33	3.300,00					51.666,67	51.700,00		164,57	200	5010
Finanzunternehmen	Oberbank AG			1	5120	Mutterberatung		2.300,00		2.300,00	2.300,00		24,8	0		139,39	100					2.160,61	2.200,00		6,88	0	5120
Finanzunternehmen	Oberbank AG			1	6120	"Gemeindestrazslig;en - Strazslig;enerhaltung"		137.800,00		137.800,00	137.800,00		1.485,99	1.500,00		8.351,52	8.400,00					129.448,48	129.400,00		412,31	400	6120
Finanzunternehmen	Oberbank AG			1	6121	"Gemeindestrazslig;en - Strazslig;enneubau"		4.912.400,00		4.912.400,00	4.912.400,00		52.973,54	53.000,00		297.721,22	297.700,00					4.614.678,78	4.614.700,00		14.698,51	14.700,00	6121
Finanzunternehmen	Oberbank AG			1	6122	Bruecken		189.900,00		189.900,00	189.900,00		2.047,81	2.000,00		11.509,09	11.500,00					178.390,91	178.400,00		568,2	600	6122
Finanzunternehmen	Oberbank AG			1	6290	"Allgemeiner Wasserbau, sonstige Mazslig;nahmen"		19.400,00		19.400,00	19.400,00		209,2	200		1.175,76	1.200,00					18.224,24	18.200,00		58,05	100	6290
Finanzunternehmen	Oberbank AG			1	6300	Hochwasserregulierung bei Bundesfluessen		2.400,00		2.400,00	2.400,00		25,88	0		145,45	100					2.254,55	2.300,00		7,18	0	6300
Finanzunternehmen	Oberbank AG			1	6400	"Einrichtungen und Mazslig;nahmen nach der StVO"		325.300,00		325.300,00	325.300,00		3.507,92	3.500,00		19.715,15	19.700,00					305.584,85	305.600,00		973,34	1.000,00	6400
Finanzunternehmen	Oberbank AG			1	7890	Foerderung von Handel, Gewerbe und Industrie		17.800,00		17.800,00	17.800,00		191,95	200		1.078,79	1.100,00					16.721,21	16.700,00		53,26	100	7890
Finanzunternehmen	Oberbank AG			1	8140	"Strazslig;enreinigung"		109.300,00		109.300,00	109.300,00		1.178,65	1.200,00		6.624,24	6.600,00					102.675,76	102.700,00		327,04	300	8140
Finanzunternehmen	Oberbank AG			1	8150	oeffentliche Anlagen		666.900,00		666.900,00	666.900,00		7.191,58	7.200,00		40.418,19	40.400,00					626.481,81	626.500,00		1.995,45	2.000,00	8150
Finanzunternehmen	Oberbank AG			4	9500	Aufgenommene Darlehen,Schuldendienst		2.486.600,00		2.486.600,00	2.486.600,00		26.814,59	26.800,00		150.703,03	150.700,00					2.335.896,97	2.335.900,00		7.440,21	7.400,00	9500
Finanzunternehmen	Oberbank AG	Oberbank    711-3190.12          (902-06-08/10)	Laufzeit von 2013 bis 2028	1	0	Gemeinderat	25.000.000,00	90.000,00	23.000.000,00	82.800,00	82.800,00	205.275,00	738,99	700	2.000.000,00	7.200,00	7.200,00	0			21.000.000,00	75.600,00	75.600,00	0			0
Finanzunternehmen	Oberbank AG			1	311	Verkehrsplanung		23.639,51		21.748,35	21.700,00		194,1	200		1.891,16	1.900,00					19.857,19	19.800,00				311
Finanzunternehmen	Oberbank AG			1	610	Sonstige Subventionen		2.653.147,79		2.440.895,97	2.440.900,00		21.785,00	21.800,00		212.251,82	212.300,00					2.228.644,14	2.228.600,00				610
Finanzunternehmen	Oberbank AG			1	1620	Berufsfeuerwehr		87.049,14		80.085,21	80.100,00		714,76	700		6.963,93	7.000,00					73.121,28	73.100,00				1620
Finanzunternehmen	Oberbank AG			1	1630	Freiwillige Feuerwehren		2.000,00		1.840,00	1.800,00		16,42	0		160	200					1.680,00	1.600,00				1630
Finanzunternehmen	Oberbank AG			1	1790	Katastrophenschutz		3.638,86		3.347,75	3.300,00		29,88	0		291,11	300					3.056,64	3.000,00				1790
Finanzunternehmen	Oberbank AG			1	2100	Allgemeinbildende Pflichtschulen		90.000,00		82.800,00	82.800,00		738,99	700		7.200,00	7.200,00					75.600,00	75.600,00				2100
Finanzunternehmen	Oberbank AG			2	2500	Schuelerhorte		581.944,18		535.388,65	535.400,00		4.778,34	4.800,00		46.555,53	46.600,00					488.833,11	488.800,00				2500
Finanzunternehmen	Oberbank AG			2	2620	Sportplaetze		60.000,00		55.200,00	55.200,00		492,66	500		4.800,00	4.800,00					50.400,00	50.400,00				2620
Finanzunternehmen	Oberbank AG			2	2700	Volkshochschule Linz		726.141,47		668.050,15	668.100,00		5.962,35	6.000,00		58.091,32	58.100,00					609.958,83	610.000,00				2700
Finanzunternehmen	Oberbank AG			1	2730	Stadtbibliothek Linz		49.967,33		45.969,94	46.000,00		410,28	400		3.997,39	4.000,00					41.972,56	42.000,00				2730
Finanzunternehmen	Oberbank AG			1	2890	Naturkundliche Station		100.000,00		92.000,00	92.000,00		821,1	800		8.000,00	8.000,00					84.000,00	84.000,00				2890
Finanzunternehmen	Oberbank AG			1	3290	"Sonst.Einrichtungen u.Mazslig;nahmen-Musik u.darstellende Kunst"		5.191.000,00		4.775.720,00	4.775.700,00		42.623,30	42.600,00		415.280,00	415.300,00					4.360.440,00	4.360.400,00				3290
Finanzunternehmen	Oberbank AG			1	3500	ARS ELECTRONICA CENTER - Museum d. 21.Jahrhunderts		800.000,00		736.000,00	736.000,00		6.568,80	6.600,00		64.000,00	64.000,00					672.000,00	672.000,00				3500
Finanzunternehmen	Oberbank AG			1	3630	Altstadterhaltung und Ortsbildpflege		2.281.650,00		2.099.118,00	2.099.100,00		18.734,63	18.700,00		182.532,00	182.500,00					1.916.586,00	1.916.600,00				3630
Finanzunternehmen	Oberbank AG			1	4010	Soziales-, Jugend und Familie		26.667,05		24.533,69	24.500,00		218,96	200		2.133,36	2.100,00					22.400,32	22.400,00				4010
Finanzunternehmen	Oberbank AG			1	4111	Geschlossene Sozialhilfe		1.685.400,00		1.550.568,00	1.550.600,00		13.838,82	13.800,00		134.832,00	134.800,00					1.415.736,00	1.415.800,00				4111
Finanzunternehmen	Oberbank AG			1	4290	Volkshaeuser		261.157,57		240.264,96	240.300,00		2.144,36	2.100,00		20.892,61	20.900,00					219.372,36	219.400,00				4290
Finanzunternehmen	Oberbank AG			2	4300	Krabbelstuben		60.958,44		56.081,76	56.100,00		500,53	500		4.876,68	4.900,00					51.205,09	51.200,00				4300
Finanzunternehmen	Oberbank AG			1	4890	Foerderung des Wohnbaues und Altwohnhausbesitzes		713.448,00		656.372,16	656.400,00		5.858,12	5.900,00		57.075,84	57.100,00					599.296,32	599.300,00				4890
Finanzunternehmen	Oberbank AG			1	5010	Technik und Umwelt		222.717,35		204.899,96	204.900,00		1.828,73	1.800,00		17.817,39	17.800,00					187.082,57	187.100,00				5010
Finanzunternehmen	Oberbank AG			1	5230	Laermbekaempfung		8.490,00		7.810,80	7.800,00		69,71	100		679,2	700					7.131,60	7.100,00				5230
Finanzunternehmen	Oberbank AG			1	6100	"Bundesstrazslig;en"		400.000,00		368.000,00	368.000,00		3.284,40	3.300,00		32.000,00	32.000,00					336.000,00	336.000,00				6100
Finanzunternehmen	Oberbank AG			1	6110	"Landesstrazslig;en"		24.358,51		22.409,83	22.400,00		200,01	200		1.948,68	1.900,00					20.461,15	20.500,00				6110
Finanzunternehmen	Oberbank AG			1	6120	"Gemeindestrazslig;en - Strazslig;enerhaltung"		1.373.949,97		1.264.033,97	1.264.000,00		11.281,50	11.300,00		109.916,00	109.900,00					1.154.117,97	1.154.100,00				6120
Finanzunternehmen	Oberbank AG			1	6121	"Gemeindestrazslig;en - Strazslig;enneubau"		4.929.780,41		4.535.397,98	4.535.400,00		40.478,43	40.500,00		394.382,43	394.400,00					4.141.015,54	4.141.000,00				6121
Finanzunternehmen	Oberbank AG			1	6122	Bruecken		45.413,54		41.780,46	41.800,00		372,89	400		3.633,08	3.600,00					38.147,37	38.200,00				6122
Finanzunternehmen	Oberbank AG			1	6300	Hochwasserregulierung bei Bundesfluessen		29.105,21		26.776,79	26.800,00		238,98	200		2.328,42	2.300,00					24.448,38	24.500,00				6300
Finanzunternehmen	Oberbank AG			1	6400	"Einrichtungen und Mazslig;nahmen nach der StVO"		184.129,84		169.399,45	169.400,00		1.511,89	1.500,00		14.730,39	14.700,00					154.669,07	154.700,00				6400
Finanzunternehmen	Oberbank AG			1	7890	Foerderung von Handel, Gewerbe und Industrie		29.673,16		27.299,31	27.300,00		243,65	200		2.373,85	2.400,00					24.925,45	24.900,00				7890
Finanzunternehmen	Oberbank AG			1	8120	WC-Anlagen		45.000,00		41.400,00	41.400,00		369,5	400		3.600,00	3.600,00					37.800,00	37.800,00				8120
Finanzunternehmen	Oberbank AG			1	8140	"Strazslig;enreinigung"		517.229,84		475.851,45	475.900,00		4.246,97	4.200,00		41.378,39	41.400,00					434.473,07	434.500,00				8140
Finanzunternehmen	Oberbank AG			1	8150	oeffentliche Anlagen		987.509,37		908.508,62	908.500,00		8.108,44	8.100,00		79.000,75	79.000,00					829.507,87	829.500,00				8150
Finanzunternehmen	Oberbank AG			1	8151	Kinderspielplaetze		38.000,00		34.960,00	35.000,00		312,02	300		3.040,00	3.000,00					31.920,00	32.000,00				8151
Finanzunternehmen	Oberbank AG			1	8160	oeffentliche Beleuchtung und oeffentliche Uhren		513.097,15		472.049,38	472.000,00		4.213,04	4.200,00		41.047,77	41.000,00					431.001,61	431.000,00				8160
Finanzunternehmen	Oberbank AG			2	8401	Grundbesitz - oeffentliches Gut		163.167,75		150.114,33	150.100,00		1.339,77	1.300,00		13.053,42	13.100,00					137.060,91	137.000,00				8401
Finanzunternehmen	Oberbank AG			1	9500	Aufgenommene Darlehen,Schuldendienst		568,56		523,08	500		4,68	0		45,48	0					477,6	500				9500
	Oberbank AG Ergebnis						83150300	83.150.300,00	66931779,46	66.931.779,46	66.931.800,00	1330928,05	1.330.928,05	1.330.400,00	7197661,56	7.197.661,56	7.197.600,00	0	0	0	59734117,9	59.734.117,90	59.734.200,00	34345,09	34.345,09	34.400,00	
Finanzunternehmen	Ooe Landesbank AG Hypo	Hypo Ooe   1 0001011 5         (GZ 902 06/06/26)	Laufzeit von 2012 bis 2027	1	0	Gemeinderat	20.000.000,00	38.900,00	18.333.333,32	35.658,33	35.700,00	179.872,92	349,85	300	1.666.666,68	3.241,67	3.200,00	0			16.666.666,64	32.416,67	32.500,00	0			0
Finanzunternehmen	Ooe Landesbank AG Hypo			1	3400	Museen der Stadt Linz		2.136.000,00		1.958.000,00	1.958.000,00		19.210,43	19.200,00		178.000,00	178.000,00					1.780.000,00	1.780.000,00				3400
Finanzunternehmen	Ooe Landesbank AG Hypo			1	3510	Kunst- und Kulturfoerderung		98.000,00		89.833,33	89.800,00		881,38	900		8.166,67	8.200,00					81.666,67	81.600,00				3510
Finanzunternehmen	Ooe Landesbank AG Hypo			1	3630	Altstadterhaltung und Ortsbildpflege		1.184.000,00		1.085.333,33	1.085.300,00		10.648,48	10.600,00		98.666,67	98.700,00					986.666,67	986.600,00				3630
Finanzunternehmen	Ooe Landesbank AG Hypo			1	4111	Geschlossene Sozialhilfe		1.372.000,00		1.257.666,67	1.257.700,00		12.339,28	12.300,00		114.333,33	114.300,00					1.143.333,33	1.143.400,00				4111
Finanzunternehmen	Ooe Landesbank AG Hypo			1	4290	Volkshaeuser		1.951.000,00		1.788.416,67	1.788.400,00		17.546,60	17.500,00		162.583,33	162.600,00					1.625.833,33	1.625.800,00				4290
Finanzunternehmen	Ooe Landesbank AG Hypo			1	4300	Krabbelstuben		84.000,00		77.000,00	77.000,00		755,47	800		7.000,00	7.000,00					70.000,00	70.000,00				4300
Finanzunternehmen	Ooe Landesbank AG Hypo			1	4890	Foerderung des Wohnbaues und Altwohnhausbesitzes		625.000,00		572.916,67	572.900,00		5.621,03	5.600,00		52.083,33	52.100,00					520.833,33	520.800,00				4890
Finanzunternehmen	Ooe Landesbank AG Hypo			1	5010	Technik und Umwelt		200.000,00		183.333,33	183.300,00		1.798,73	1.800,00		16.666,67	16.700,00					166.666,67	166.600,00				5010
Finanzunternehmen	Ooe Landesbank AG Hypo			1	5230	Laermbekaempfung		7.000,00		6.416,67	6.400,00		62,96	100		583,33	600					5.833,33	5.800,00				5230
Finanzunternehmen	Ooe Landesbank AG Hypo			1	6100	"Bundesstrazslig;en"		400.000,00		366.666,67	366.700,00		3.597,46	3.600,00		33.333,33	33.300,00					333.333,33	333.400,00				6100
Finanzunternehmen	Ooe Landesbank AG Hypo			1	6110	"Landesstrazslig;en"		150.000,00		137.500,00	137.500,00		1.349,05	1.300,00		12.500,00	12.500,00					125.000,00	125.000,00				6110
Finanzunternehmen	Ooe Landesbank AG Hypo			1	6120	"Gemeindestrazslig;en - Strazslig;enerhaltung"		924.000,00		847.000,00	847.000,00		8.310,13	8.300,00		77.000,00	77.000,00					770.000,00	770.000,00				6120
Finanzunternehmen	Ooe Landesbank AG Hypo			1	6121	"Gemeindestrazslig;en - Strazslig;enneubau"		7.666.100,00		7.027.258,33	7.027.300,00		68.946,19	68.900,00		638.841,67	638.800,00					6.388.416,66	6.388.500,00				6121
Finanzunternehmen	Ooe Landesbank AG Hypo			1	6290	"Allgemeiner Wasserbau, sonstige Mazslig;nahmen"		30.000,00		27.500,00	27.500,00		269,81	300		2.500,00	2.500,00					25.000,00	25.000,00				6290
Finanzunternehmen	Ooe Landesbank AG Hypo			1	6300	Hochwasserregulierung bei Bundesfluessen		35.000,00		32.083,33	32.100,00		314,78	300		2.916,67	2.900,00					29.166,67	29.200,00				6300
Finanzunternehmen	Ooe Landesbank AG Hypo			1	6400	"Einrichtungen und Mazslig;nahmen nach der StVO"		112.000,00		102.666,67	102.700,00		1.007,29	1.000,00		9.333,33	9.300,00					93.333,33	93.400,00				6400
Finanzunternehmen	Ooe Landesbank AG Hypo			1	7890	Foerderung von Handel, Gewerbe und Industrie		61.000,00		55.916,67	55.900,00		548,61	500		5.083,33	5.100,00					50.833,33	50.800,00				7890
Finanzunternehmen	Ooe Landesbank AG Hypo			1	8120	WC-Anlagen		45.000,00		41.250,00	41.300,00		404,71	400		3.750,00	3.800,00					37.500,00	37.500,00				8120
Finanzunternehmen	Ooe Landesbank AG Hypo			1	8140	"Strazslig;enreinigung"		354.000,00		324.500,00	324.500,00		3.183,75	3.200,00		29.500,00	29.500,00					295.000,00	295.000,00				8140
Finanzunternehmen	Ooe Landesbank AG Hypo			1	8151	Kinderspielplaetze		92.000,00		84.333,33	84.300,00		827,42	800		7.666,67	7.700,00					76.666,67	76.600,00				8151
Finanzunternehmen	Ooe Landesbank AG Hypo			1	8160	oeffentliche Beleuchtung und oeffentliche Uhren		395.000,00		362.083,33	362.100,00		3.552,49	3.600,00		32.916,67	32.900,00					329.166,67	329.200,00				8160
Finanzunternehmen	Ooe Landesbank AG Hypo			2	8401	Grundbesitz - oeffentliches Gut		1.440.000,00		1.320.000,00	1.320.000,00		12.950,85	13.000,00		120.000,00	120.000,00					1.200.000,00	1.200.000,00				8401
Finanzunternehmen	Ooe Landesbank AG Hypo			1	9001	Finanzen und Wirtschaft		600.000,00		549.999,99	550.000,00		5.396,17	5.400,00		50.000,01	50.000,00					499.999,98	500.000,00				9001
Finanzunternehmen	Ooe Landesbank AG Hypo	Hypo Ooe   2 0001011 4        (GZ 902 06/06/27)	Laufzeit von 2013 bis 2030	1	6121	"Gemeindestrazslig;en - Strazslig;enneubau"	20.000.000,00	15.643.000,00	18.666.644,45	14.600.115,96	14.600.100,00	521.283,74	407.722,08	407.700,00	1.333.333,34	1.042.866,67	1.042.900,00	0			17.333.311,11	13.557.249,28	13.557.200,00	0			6121
Finanzunternehmen	Ooe Landesbank AG Hypo			1	6390	Uferschutzbauten,Bachregulierung,Gewaesseraufsicht		23.000,00		21.466,64	21.500,00		599,48	600		1.533,33	1.500,00					19.933,31	20.000,00				6390
Finanzunternehmen	Ooe Landesbank AG Hypo			1	8151	Kinderspielplaetze		200.000,00		186.666,44	186.700,00		5.212,84	5.200,00		13.333,33	13.300,00					173.333,11	173.400,00				8151
Finanzunternehmen	Ooe Landesbank AG Hypo			1	8160	oeffentliche Beleuchtung und oeffentliche Uhren		4.134.000,00		3.858.395,41	3.858.400,00		107.749,34	107.700,00		275.600,01	275.600,00					3.582.795,41	3.582.800,00				8160
Finanzunternehmen	Ooe Landesbank AG Hypo	Hypo Ooe   4 000 010 118            (902-06/06/22)	Laufzeit von 1999 bis 2020	1	6120	"Gemeindestrazslig;en - Strazslig;enerhaltung"	6.758.573,58	6.758.573,58	1.865.622,87	1.865.622,87	1.865.600,00	1.931,09	1.931,09	1.900,00	532.292,47	532.292,47	532.300,00	0			1.333.330,40	1.333.330,40	1.333.300,00	0			6120
